address,area,baths,beds,lat,lng,neigh,price,url,price_sqft
"1810 Dry Brook Rd, Middletown, NY",978,1.0,3,42.144151,-74.612431,12455,125000.0,https://zillow.com/homedetails/1810-Dry-Brook-Rd-Middletown-NY-12455/2096524117_zpid/,127.8118609406953
"1060 Main St, Margaretville, NY",2388,NA,NA,42.150024,-74.643462,12455,229000.0,https://zillow.com/homedetails/1060-Main-St-Margaretville-NY-12455/30068278_zpid/,95.89614740368509
"2056 County Highway 36, Margaretville, NY",2328,2.0,5,42.200128,-74.575997,12455,399000.0,https://zillow.com/homedetails/2056-County-Highway-36-Margaretville-NY-12455/30068887_zpid/,171.39175257731958
"1648 Ben Meeker Rd, Margaretville, NY",1242,2.0,3,42.133008,-74.721609,12455,365000.0,https://zillow.com/homedetails/1648-Ben-Meeker-Rd-Margaretville-NY-12455/30070218_zpid/,293.8808373590982
"1266 County Highway 3, Margaretville, NY",2260,3.0,3,42.124821,-74.677932,12455,385000.0,https://zillow.com/homedetails/1266-County-Highway-3-Margaretville-NY-12455/30070259_zpid/,170.35398230088495
"126 Swart St, Margaretville, NY",1992,3.0,4,42.148028,-74.651099,12455,179000.0,https://zillow.com/homedetails/126-Swart-St-Margaretville-NY-12455/2086469195_zpid/,89.85943775100401
"1136 Fiddlers Elbow Rd, Margaretville, NY",2218,3.0,3,42.198105,-74.668056,12455,389000.0,https://zillow.com/homedetails/1136-Fiddlers-Elbow-Rd-Margaretville-NY-12455/30069016_zpid/,175.38322813345357
"144 Huckleberry Hill Rd, Margaretville, NY",3030,3.0,5,42.122935,-74.653431,12455,795000.0,https://zillow.com/homedetails/144-Huckleberry-Hill-Rd-Margaretville-NY-12455/30070302_zpid/,262.3762376237624
"545 Mcmurray Road Rds, Margaretville, NY",2156,3.5,3,42.137993,-74.693269,12455,599000.0,https://zillow.com/homedetails/545-Mcmurray-Road-Rds-Margaretville-NY-12455/2089070396_zpid/,277.82931354359926
"2 Quail Ridge Rd, Margaretville, NY",1950,3.5,3,42.207881,-74.589254,12455,375000.0,https://zillow.com/homedetails/2-Quail-Ridge-Rd-Margaretville-NY-12455/66475347_zpid/,192.30769230769232
"798 Main St, Margaretville, NY",7295,5.0,7,42.14855,-74.647978,12455,425000.0,https://zillow.com/homedetails/798-Main-St-Margaretville-NY-12455/215785222_zpid/,58.25908156271419
"644 Fiddlers Elbow Rd, Margaretville, NY",2356,2.0,3,42.189976,-74.664451,12455,345000.0,https://zillow.com/homedetails/644-Fiddlers-Elbow-Rd-Margaretville-NY-12455/30069012_zpid/,146.4346349745331
"851 Main St, Margaretville, NY",2306,4.0,4,42.149287,-74.647432,12455,295000.0,https://zillow.com/homedetails/851-Main-St-Margaretville-NY-12455/215785196_zpid/,127.92714657415438
"128 Academy St, Margaretville, NY",3158,3.0,6,42.147533,-74.653503,12455,345000.0,https://zillow.com/homedetails/128-Academy-St-Margaretville-NY-12455/30068201_zpid/,109.24635845471818
"2470 County Hwy 37, Margaretville, NY",1872,3.0,4,42.17474,-74.666418,12455,335000.0,https://zillow.com/homedetails/2470-County-Hwy-37-Margaretville-NY-12455/2089040206_zpid/,178.95299145299145
"420 Old Winter Hollow Rd, Margaretville, NY",780,1.0,2,42.23783,-74.69501,12455,48500.0,https://zillow.com/homedetails/420-Old-Winter-Hollow-Rd-Margaretville-NY-12455/30068377_zpid/,62.17948717948718
"685 Davis Rd, Margaretville, NY",2700,3.5,4,42.192898,-74.687909,12455,2500000.0,https://zillow.com/homedetails/685-Davis-Rd-Margaretville-NY-12455/30068576_zpid/,925.925925925926
"1374 County Highway 3, Margaretville, NY",2996,4.0,3,42.125542,-74.67544,12455,550000.0,https://zillow.com/homedetails/1374-County-Highway-3-Margaretville-NY-12455/30070261_zpid/,183.5781041388518
"44127 State Hwy # 28, Middletown, NY",4500,5.0,6,42.1636,-74.6602,12455,385000.0,https://zillow.com/homedetails/44127-State-Hwy-28-Middletown-NY-12455/2087546343_zpid/,85.55555555555556
"1397 County Highway 36, Middletown, NY",1785,2.0,3,42.1633,-74.6605,12455,283500.0,https://zillow.com/homedetails/1397-County-Highway-36-Middletown-NY-12455/2087903528_zpid/,158.8235294117647
